"s_obdobi","0a-vlada","0b-PS","0c-S","0d-kraje","1-PSin","11-PS2S","12-PS2P","13-PSdead","14-PSstuck","2-Sin","21-S2P","22-S2PSpozm","23-S2PSzam","24-Sdead","25-Sstuck","3a-PSpozmin","3a1-PS2Ppozmprijat","3a2-PS2Ppozmsetrv","3a3-PSpozmdead","3a4-PSpozmstuck","3b-PSzamin","3b1-PS2Pzamsetrv","3b2-PSzamdead","3b3-PSzamstuck","4-Pin","41-P2SZ","42-P2PSnep","5-P2nepin","51-PS2SZnepsetrv","52-PSnepdead","53-PSnepstuck","6-SZin"
"1996-1998",83,26,10,0,119,116,0,2,1,116,92,19,5,0,0,19,11,5,2,1,5,1,1,3,109,104,5,5,3,1,0,108
"1998-2000",188,45,9,0,242,238,0,4,0,237,158,69,9,2,0,69,45,19,5,0,9,8,1,0,230,222,8,8,8,0,0,230
"2000-2002",162,69,16,3,250,244,1,3,2,243,171,57,15,1,0,57,37,18,2,0,15,6,5,4,233,225,8,8,7,0,1,232
"2002-2004",219,45,11,4,279,274,0,4,1,273,196,70,8,0,0,70,44,21,3,0,8,5,3,0,266,253,13,13,12,1,0,267
"2004-2006",172,59,15,3,249,238,0,11,1,238,99,102,36,1,0,102,55,47,0,0,36,25,7,4,226,206,20,20,14,2,4,220
"2006-2008",138,36,15,6,195,186,0,2,7,186,163,21,2,0,0,21,11,10,0,0,2,2,0,0,186,182,4,4,3,1,0,185
"2008-2010",128,48,24,2,202,189,0,5,8,188,151,30,8,0,0,30,17,10,3,0,8,5,1,2,183,170,13,13,10,0,3,180
"2010-2012",188,33,29,3,253,241,0,13,0,241,141,66,31,2,1,66,35,29,1,1,31,28,2,1,233,220,13,13,13,0,0,233
"2012-2014",140,27,22,0,189,181,0,3,5,181,143,28,8,1,1,28,15,12,0,1,8,0,2,6,170,166,4,4,2,2,0,168
"2014-2016",157,18,16,0,191,181,0,0,10,181,138,38,4,0,1,38,26,11,1,0,4,3,1,0,178,176,2,2,2,0,0,178
"2016-2018",116,32,18,3,169,162,0,5,2,162,130,22,10,0,0,22,11,7,3,0,10,6,3,1,154,152,2,2,2,0,0,154
"2018-2020",150,40,8,1,199,193,0,0,5,193,125,55,12,1,1,55,15,38,2,0,12,11,1,0,189,189,0,0,0,0,0,189
"2020-2022",143,33,7,0,183,180,0,0,0,180,131,35,12,1,2,35,21,12,1,1,12,6,2,3,167,168,2,2,2,0,0,170
"2022-2024",139,26,4,0,169,167,0,0,0,167,144,10,0,0,0,10,5,5,0,0,0,0,0,0,151,154,0,0,0,0,0,153
